Subject,Age,Method,Strategy,Score
1,Older,Individual,Verbal,20
2,Older,Individual,Verbal,16
3,Older,Individual,Verbal,24
4,Older,Individual,Verbal,22
5,Older,Group,Verbal,20
6,Older,Group,Verbal,18
7,Older,Group,Verbal,24
8,Older,Group,Verbal,17
9,Older,Individual,Visual,22
10,Older,Individual,Visual,22
11,Older,Individual,Visual,25
12,Older,Individual,Visual,18
13,Older,Group,Visual,34
14,Older,Group,Visual,44
15,Older,Group,Visual,36
16,Older,Group,Visual,32
17,Younger,Individual,Verbal,18
18,Younger,Individual,Verbal,25
19,Younger,Individual,Verbal,27
20,Younger,Individual,Verbal,20
21,Younger,Group,Verbal,26
22,Younger,Group,Verbal,24
23,Younger,Group,Verbal,22
24,Younger,Group,Verbal,18
25,Younger,Individual,Visual,25
26,Younger,Individual,Visual,26
27,Younger,Individual,Visual,20
28,Younger,Individual,Visual,22
29,Younger,Group,Visual,24
30,Younger,Group,Visual,26
31,Younger,Group,Visual,18
32,Younger,Group,Visual,19
